50 Cent,nm1265067
Kandyse McClure,nm0565973
Kane Hodder,nm0387987
Kang-ho Song,nm0814280
Kaniehtiio Horn,nm1503416
Kara Hayward,nm4442319
Kara Killmer,nm3951257
Kara Kimmer,nm5211128
Karan Brar,nm3557613
Karan Soni,nm4175221
Kareena Kapoor,nm0004626
Karen Allen,nm0000261
Karen Austin,nm0042438
Karen Black,nm0000947
Karen David,nm1314042
Karen Dotrice,nm0234538
Karen Fukuhara,nm7232332
Karen Gillan,nm2394794
Karen Grassle,nm0002111
Karen Kopins,nm0465789
Karen Lynn Gorney,nm0331186
Karen Robinson,nm0732793
Karen Steele,nm0824606
Karen Valentine,nm0884259
Kari Matchett,nm0558182
Kari Wahlgren,nm1312566
Kari Wuhrer,nm0001863
Karima McAdams,nm1677528
Karin Franz Korlof,nm4482488
Karin Konoval,nm0465269
Karina Arroyave,nm0037410
Karina Banno,nm4345657
Karina Lombard,nm0518312
Karine Vanasse,nm0888468
Karissa Lee Staples,nm2771607
Karl Glusman,nm3194762
Karl Johnson,nm0425490
Karl Malden,nm0001500
Karl Swenson,nm0842425
Karl Urban,nm0881631
Karla Crome,nm3492152
Karla Souza,nm0646568
Karma Meyer,nm9791672
Karole Rocher,nm0734039
Karolina Kurkova,nm1081656
Karolina Wydra,nm2764521
Karrueche Tran,nm6556496
Kar-Wai Wong,nm0939182
Karyn Parsons,nm0663854
Kasia Smutniak,nm0810738
Kassandra Clementi,nm3879121
Kat Conner Sterling,nm8158572
Kat Dennings,nm0993507
Kat Foster,nm1928172
Kat Graham,nm0334159
Katarina Cas,nm1128592
Kate Arrington,nm1667066
Kate Ashfield,nm0038918
Kate Beckinsale,nm0000295
Kate Berlant,nm2547958
Kate Bosworth,nm0098378
Kate Burton,nm0123632
Kate Capshaw,nm0001009
Kate del Castillo,nm0215487
Kate Dickie,nm0225483
Kate Dion-Richard,nm3558165
Kate Flannery,nm0281212
Kate Fleetwood,nm0281448
Kate Hudson,nm0005028
Kate Jackson,nm0000462
Kate Katzman,nm6199057
Kate Luyben,nm0527722
Kate Lyn Sheil,nm3338354
Kate Maberly,nm0531069
Kate Magowan,nm0536461
Kate Mara,nm0544718
Kate McKinnon,nm0571952
Kate McNeil,nm0573896
Kate Micucci,nm2177528
Kate Miner,nm1567202
Kate Mulgrew,nm0000550
Kate Mulvany,nm2078666
Kate Nash,nm2658542
Kate Nauta,nm1690331
Kate Nelligan,nm0625075
Kate Phillips,nm7056012
Kate Siegel,nm2318089
Kate Upton,nm4478322
Kate Vernon,nm0894690
Kate Walsh,nm0005532
Kate Winslet,nm0000701
Katee Sackhoff,nm0755267
Katelyn Tarver,nm1429588
Katey Sagal,nm0005408
Kath Soucie,nm0815718
Katharine Hepburn,nm0000031
Katharine Isabelle,nm0410622
Katharine McPhee,nm1897713
Katharine Ross,nm0001684
Katharine Towne,nm0870007
Katherine Barrell,nm4408847
Katherine Cunningham,nm3211868
Katherine Heigl,nm0001337
Katherine Helmond,nm0001340
Katherine Hughes,nm3675325
Katherine Kelly,nm1906500
Katherine LaNasa,nm0478762
Katherine Langford,nm7692698
Katherine McNamara,nm3031063
Katherine Moennig,nm0595485
Katherine Parkinson,nm1817670
Katherine Waterston,nm2239702
Katheryn Winnick,nm0935395
Kathie Browne,nm0115025
Kathleen Beller,nm0000898
Kathleen Crowley,nm0189754
Kathleen Freeman,nm0293466
Kathleen Kinmont,nm0455681
Kathleen Munroe,nm1182008
Kathleen Quinlan,nm0000599
Kathleen Robertson,nm0005370
Kathleen Rose Perkins,nm1137659
Kathleen Turner,nm0000678
Kathleen Wilhoite,nm0001849
Kathrine Narducci,nm0621393
Kathryn Bigelow,nm0000941
Kathryn Drysdale,nm0238776
Kathryn Erbe,nm0002062
Kathryn Grody,nm0342852
Kathryn Hahn,nm1063517
Kathryn Harrold,nm0002130
Kathryn Joosten,nm0429760
Kathryn Morris,nm0606700
Kathryn Newton,nm1105980
Kathryn Prescott,nm3077071
Kathy Baker,nm0000834
Kathy Bates,nm0000870
Kathy Ireland,nm0001387
Kathy Najimy,nm0001562
Katia Winter,nm2316016
Katie Aselton,nm1051221
Katie Cassidy,nm1556320
Katie Douglas,nm3353780
Katie Featherston,nm2209370
Katie Findlay,nm3818748
Katie Finneran,nm0278234
Katie Holmes,nm0005017
Katie Johnson,nm0425507
Katie Leclerc,nm1813088
Katie Leung,nm1648520
Katie Lowes,nm1705090
Katie McGrath,nm2692146
Katie McGuinness,nm1595086
Katie Sarife,nm4396442
Katie Stevens,nm3775423
Katie Walder,nm0907134
Katja Herbers,nm1126156
Katrina Begin,nm1640523
Katrina Bowden,nm2197298
Katrina Law,nm0492345
Katrina Norman,nm2872438
Katy Mixon,nm1737500
Katy Perry,nm2953537
Katy Wix,nm2360449
Kavan Smith,nm0808902
Kay Lenz,nm0001464
Kay Panabaker,nm0659048
Kaya Scodelario,nm2546012
Kayla Compton,nm4574523
Kayla Ewell,nm0263881
Kaylee Bryant,nm2859626
Kaylee DeFer,nm1560236
Kaylee Hottle,nm10544447
Kayvan Novak,nm1315378
Ke Huy Quan,nm0702841
Keala Settle,nm4745222
Keanu Reeves,nm0000206
Keean Johnson,nm5277107
Keegan Allen,nm1138805
Keegan Connor Tracy,nm0870535
Keegan-Michael Key,nm1221047
Keeley Hawes,nm0369954
Keeley Hazell,nm1931742
Keenan Wynn,nm0943978
Keenen Ivory Wayans,nm0005540
Keesha Sharp,nm1077920
Keiko Agena,nm0012962
Keir Dullea,nm0001158
Keir Gilchrist,nm1507857
Keir O'Donnell,nm1218757
Keira Knightley,nm0461136
Keisha Castle-Hughes,nm1095720
Keith Allen,nm0020717
Keith Carradine,nm0001018
Keith Coogan,nm0176861
Keith David,nm0202966
Keith Gordon,nm0330360
Keith Szarabajka,nm0843775
Keiynan Lonsdale,nm2920533
Keke Palmer,nm1551130
Kel Mitchell,nm0005239
Kelen Coleman,nm2584298
Kellan Lutz,nm1553725
Kelley Jakle,nm4275908
Kelli Berglund,nm2399914
Kelli Garner,nm0307726
Kelli Giddish,nm1534207
Kelli Maroney,nm0549526
Kelli Williams,nm0005559
Kellie Martin,nm0005192
Kellie Shanygne Williams,nm0931046
Kelly Bishop,nm0084105
Kelly Brook,nm0111639
Kelly Carlson,nm1023018
Kelly Curran,nm3165266
Kelly Frye,nm2340245
Kelly Hu,nm0005026
Kelly Kruger,nm0472595
Kelly LeBrock,nm0001456
Kelly Lynch,nm0001488
Kelly Macdonald,nm0531808
Kelly Marie Tran,nm4511652
Kelly McCormack,nm3080168
Kelly McCreary,nm3691741
Kelly McGillis,nm0000534
Kelly Overton,nm0653952
Kelly Packard,nm0001585
Kelly Preston,nm0000593
Kelly Reilly,nm0717709
Kelly Ripa,nm0727961
Kelly Rohrbach,nm4859097
Kelly Rowan,nm0746414
Kelly Rutherford,nm0005393
Kelly Stables,nm1261587
Kelly Sullivan,nm2660424
Kelsey Asbille,nm2080328
Kelsey Grammer,nm0001288
Kelvin Harrison Jr.,nm5123156
Ken Burns,nm0122741
Ken Curtis,nm0193411
Ken Hall,nm2553849
Ken Howard,nm0397432
Ken Jenkins,nm0420898
Ken Jeong,nm0421822
Ken Leung,nm0504962
Ken Marino,nm0547800
Ken Olandt,nm0645949
Ken Olin,nm0646440
Ken Stott,nm0832792
Ken Wahl,nm0906261
Ken Watanabe,nm0913822
Kenan Thompson,nm0860380
Kendall Schmidt,nm1034247
Kenjiro Tsuda,nm1328859
Kenneth Branagh,nm0000110
Kenneth Choi,nm0158846
Kenneth Cranham,nm0186469
Kenneth Mars,nm0550318
Kenneth Mitchell,nm1058987
Kenneth Welsh,nm0920564
Kenny Johnson,nm0425543
Kent McCord,nm0566382
Kenya Moore,nm0601469
Keon Alexander,nm3680694
Kerem Bursin,nm2792064
Keri Hilson,nm2778747
Keri Lynn Pratt,nm0005325
Keri Russell,nm0005392
Kerr Smith,nm0005445
Kerri Green,nm0338061
Kerri Kenney,nm0448486
Kerri Medders,nm3419118
Kerris Dorsey,nm1748388
Kerry Bishe,nm2628935
Kerry Condon,nm0174403
Kerry Godliman,nm0996942
Kerry James,nm1733551
Kerry Washington,nm0913488
Keshia Knight Pulliam,nm0700443
Kether Donohue,nm1850967
Kevin Alejandro,nm1204760
Kevin Anderson,nm0000754
Kevin Bacon,nm0000102
Kevin Carroll,nm0140887
Kevin Chapman,nm0152430
Kevin Connolly,nm0175305
Kevin Conroy,nm0175834
Kevin Corrigan,nm0180984
Kevin Costner,nm0000126
Kevin Dillon,nm0001143
Kevin Doyle,nm0236413
Kevin Dunn,nm0242656
Kevin Durand,nm0243806
Kevin Eldon,nm0253126
Kevin Gage,nm0300824
Kevin Guthrie,nm2295590
Kevin Hart,nm0366389
Kevin J. O'Connor,nm0640413
Kevin Jamal Woods,nm0940673
Kevin James,nm0416673
Kevin Kline,nm0000177
Kevin McCarthy,nm0002994
Kevin McDonald,nm0567852
Kevin McGarry,nm3972260
Kevin McHale,nm2389665
Kevin McKidd,nm0571727
Kevin McNally,nm0573618
Kevin Michael Richardson,nm0724656
Kevin Nash,nm0621760
Kevin P. Farley,nm0267659
Kevin Peter Hall,nm0001310
Kevin Pollak,nm0001629
Kevin Quinn,nm6218423
Kevin Rahm,nm0706716
Kevin Rankin,nm0710271
Kevin Smith,nm0003620
Kevin Sorbo,nm0001757
Kevin Spacey,nm0000228
Kevin Sussman,nm0839934
Kevin Tighe,nm0001798
Kevin Weisman,nm0918858
Kevin Zegers,nm0954225
Khalil Kain,nm0435074
Khamani Griffin,nm1367048
Khandi Alexander,nm0018554
Khary Payton,nm1146051
Kheng Hua Tan,nm0848864
Khleo Thomas,nm1169490
Ki Hong Lee,nm3859624
Kiana Madeira,nm2854112
Kid Cudi,nm3264596
Kiefer Sutherland,nm0000662
Kiele Sanchez,nm0760989
Kiera Allen,nm6266674
Kieran Bew,nm1240908
Kieran Culkin,nm0001085
Kiernan Shipka,nm2215143
Kiersey Clemons,nm4169922
Kiersten Warren,nm0912916
Kierston Wareing,nm1663573
KiKi Layne,nm8460487
Kiki Sukezane,nm5700881
Kiko Mizuhara,nm3460467
Killian Scott,nm2832424
Kim Basinger,nm0000107
Kim Bodnia,nm0091035
Kim Cattrall,nm0000326
Kim Coates,nm0167649
Kim Darby,nm0200981
Kim Delaney,nm0001126
Kim Dickens,nm0225332
Kim Director,nm0228171
Kim Engelbrecht,nm0257188
Kim Fields,nm0004917
Kim Greist,nm0002114
Kim Hunter,nm0001375
Kim Jung-Hyun,nm7947860
Kim Kardashian,nm2578007
Kim Novak,nm0001571
Kim Poirier,nm0688495
Kim Raver,nm0005339
Kim Rhodes,nm0722476
Kim Richards,nm0001668
Kim Shaw,nm2137418
Kim Soo-Hyun,nm4633543
Kim Tae-ri,nm3892241
Kim Tyler,nm0878855
Kimberley Crossman,nm2522535
Kimberley Kates,nm0441236
Kimberley Nixon,nm2632878
Kimberly Elise,nm0253708
Kimberly J. Brown,nm0004782
Kimberly Williams-Paisley,nm0931090
Kimberly-Sue Murray,nm3980050
Kimiko Glenn,nm4733752
Kimmy Robertson,nm0731927
Kimrie Lewis,nm1699444
Kingsley Ben-Adir,nm4667984
Kinka Usher,nm0882330
Kip Pardue,nm0661164
Kiran Sonia Sawar,nm7584343
Kirby Bliss Blanton,nm1926300
Kirby Howell-Baptiste,nm4624730
Kirk Acevedo,nm0009716
Kirk Cameron,nm0131647
Kirk Douglas,nm0000018
Kirk Fox,nm0289105
Kirron Kher,nm0451601
Kirsten Dunst,nm0000379
Kirsten Nelson,nm0625529
Kirsten Vangsness,nm1494536
Kirsten Zien,nm0698977
Kirstie Alley,nm0000263
Kirsty Mitchell,nm0593511
Kit Harington,nm3229685
Kivanc Tatlitug,nm1833525
Klaus Kinski,nm0001428
Ko Shibasaki,nm0793069
Kodi Smit-McPhee,nm2240346
Kris Holden-Ried,nm0390285
Kris Kristofferson,nm0001434
Kris Marshall,nm0550994
Kris Murrell,nm3615624
Krista Allen,nm0020739
Krista Grotte Saxon,nm1380166
Krista Kosonen,nm1279980
Krista Marie Yu,nm3934247
Kristanna Loken,nm0518085
Kristen Bell,nm0068338
Kristen Connolly,nm1393354
Kristen Dalton,nm0198306
Kristen Gutoskie,nm0349663
Kristen Hager,nm1982266
Kristen Johnston,nm0005060
Kristen Miller,nm0588766
Kristen Renton,nm1012029
Kristen Schaal,nm1102891
Kristen Stewart,nm0829576
Kristen Vaganos,nm6553508
Kristen Wiig,nm1325419
Kristen Wilson,nm0933723
Kristian Alfonso,nm0019172
Kristian Nairn,nm3964231
Kristin Bauer van Straten,nm0061877
Kristin Booth,nm0095746
Kristin Cavallari,nm1738059
Kristin Chenoweth,nm0155693
Kristin Dattilo,nm0202184
Kristin Davis,nm0004862
Kristin Kreuk,nm0471036
Kristin Lehman,nm0005138
Kristin Minter,nm0591703
Kristin Scott Thomas,nm0000218
Kristine DeBell,nm0213374
Kristine Froseth,nm8109082
Kristine Sutherland,nm0840133
Kristofer Hivju,nm1970465
Kristoffer Polaha,nm1119340
Kristy Dawn Dinsmore,nm2959389
Kristy McNichol,nm0001531
Kristy Swanson,nm0001785
Krysta Rodriguez,nm3106253
Krysten Ritter,nm1269983
Ksenia Solo,nm0989959
Kumail Nanjiani,nm3529685
Kunal Nayyar,nm2471798
Kurt Fuller,nm0298281
Kurt Russell,nm0000621
Kurt Sutter,nm1176676
Kurtwood Smith,nm0001748
Kyla Kenedy,nm2472838
Kyla Pratt,nm0695497
Kyla-Drew,nm4790129
Kyle Allen,nm6563873
Kyle Bornheimer,nm1531180
Kyle Chandler,nm0151419
Kyle Gallner,nm0973177
Kyle Howard,nm0397445
Kyle MacLachlan,nm0001492
Kyle Newacheck,nm1760830
Kyle Richards,nm0724202
Kyle Schmid,nm0772704
Kylie Bunbury,nm3954896
Kylie Jenner,nm2832473
Kylie Minogue,nm0001541
Kylie Rogers,nm4814017
Kyliegh Curran,nm7738797
Kym Karath,nm0439001
Kym Whitley,nm0005552
Kyra Sedgwick,nm0001718
Kyra Zagorsky,nm2172012
L.Q. Jones,nm0428618
Lacey Chabert,nm0000327
LaChanze,nm0478447
Lachlan Buchanan,nm2473719
Laci J Mailey,nm4371603
Lady Gaga,nm3078932
Laetitia Casta,nm0144377
Laia Costa,nm4663937
Laila Robins,nm0732309
Lainie Kazan,nm0443577
Lake Bell,nm1128572
LaKeith Stanfield,nm3147751
Lala Kent,nm2742160
Lali Esposito,nm1373106
Lambert Wilson,nm0933727
LaMonica Garrett,nm1206818
Lamorne Morris,nm2031358
Lana Clarkson,nm0165096
Lana Condor,nm7093076
Lana Parrilla,nm0663469
Lana Turner,nm0001805
Lana Wood,nm0939836
Lance Barber,nm1115741
Lance Bass,nm0004726
Lance Guest,nm0346411
Lance Henriksen,nm0000448
Lance Reddick,nm0714698
Landon Liboiron,nm2334994
Lane Bradbury,nm0102902
Lane Smith,nm0809031
Langley Kirkwood,nm0456810
Lara Flynn Boyle,nm0001223
Lara Jean Chorostecki,nm1892299
Lara Jill Miller,nm0330070
Lara Pulver,nm3091498
Lara Silva,nm7299297
Laraine Newman,nm0628170
Larenz Tate,nm0005478
Larisa Oleynik,nm0646351
Lark Voorhies,nm0903397
LaRoyce Hawkins,nm3146765
Larry Bryggman,nm0117365
Larry David,nm0202970
Larry Fessenden,nm0275244
Larry Hagman,nm0001306
Larry Hankin,nm0359969
Larry Joe Campbell,nm0132660
Larry Linville,nm0513271
Larry Manetti,nm0542027
Larry Miller,nm0588777
Larry Poindexter,nm0223315
Larry Storch,nm0832415
Larry Wilcox,nm0928243
Lars Mikkelsen,nm0586565
Lars von Trier,nm0001885
Lashana Lynch,nm2736476
Latarsha Rose,nm1127289
Laura Aikman,nm0014605
Laura Allen,nm0020751
Laura Ashley Samuels,nm3359122
Laura Bach,nm5992767
Laura Bailey,nm1154161
Laura Bell Bundy,nm0120410
Laura Benanti,nm1128574
Laura Bertram,nm0078324
Laura Brent,nm3049546
Laura Carmichael,nm3882295
Laura Clery,nm2777975
Laura Dern,nm0000368
Laura Donnelly,nm1967827
Laura Fraser,nm0292182
Laura Haddock,nm2652095
Laura Harrier,nm5637553
Laura Harring,nm0005009
Laura Harris,nm0364977
Laura Innes,nm0005041
Laura Leighton,nm0500359
Laura Linney,nm0001473
Laura Marano,nm1404824
Laura Mennell,nm0579728
Laura Prepon,nm0696059
Laura Ramsey,nm1377561
Laura San Giacomo,nm0000624
Laura Silverman,nm0798938
Laura Spencer,nm3189010
Laura Vandervoort,nm0888882
Laura Wiggins,nm2270016
Laura-Leigh,nm3142880
Lauren Ambrose,nm0024404
Lauren Ash,nm2274847
Lauren Bacall,nm0000002
Lauren Bowles,nm0101242
Lauren Cohan,nm1659348
Lauren E. Banks,nm5524602
Lauren German,nm0314514
Lauren Graham,nm0334179
Lauren Hammersley,nm2019150
Lauren Holly,nm0000452
Lauren Hutton,nm0001381
Lauren Lane,nm0485420
Lauren Lapkus,nm1944055
Lauren Lee Smith,nm0809049
Lauren London,nm1988575
Lauren Lyle,nm6892004
Lauren Miller Rogen,nm1601643
Lauren Patten,nm1466595
Lauren Ridloff,nm4248765
Lauren Socha,nm2282610
Lauren Stamile,nm0821836
Lauren Swickard,nm4549519
Lauren Tewes,nm0856708
Lauren Tom,nm0866300
Lauren Tsai,nm8816423
Laurence Fishburne,nm0000401
Laurence Fox,nm0289114
Laurence Harvey,nm0002131
Laurence Leboeuf,nm0495799
Laurence Olivier,nm0000059
Laurene Landon,nm0484929
Laurette Spang,nm0816783
Laurie Holden,nm0390229
Laurie Metcalf,nm0582418
Laverne Cox,nm1209545
Lawrence Gilliard Jr.,nm0319142
Lawrence Tierney,nm0862937
Layla Alizada,nm0019744
Laysla De Oliveira,nm5315658
Laz Alonso,nm0022306
Lea DeLaria,nm0216466
Lea Michele,nm0584951
Lea Seydoux,nm2244205
Lea Thompson,nm0000670
Leah Cairns,nm1489668
Leah Lewis,nm2301427
Leah Pipes,nm1343254
Leah Remini,nm0718957
Leann Hunley,nm0402264
LeAnn Rimes,nm0005361
Leanne Best,nm1569065
LeBron James,nm1429908
Lee Aaker,nm0007342
Lee Arenberg,nm0034305
Lee Byung-Hun,nm0496932
Lee Daniels,nm0200005
Lee Dong-Wook,nm2089388
Lee Evans,nm0262968
Lee Garlington,nm0307600
Lee Grant,nm0335519
Lee Horsley,nm0395448
Lee Ingleby,nm0408846
Lee J. Cobb,nm0002011
Lee Jong-Suk,nm4062328
Lee Majors,nm0000516
Lee Marvin,nm0001511
Lee Meriwether,nm0580886
Lee Min-Ho,nm3316279
Lee Montgomery,nm0599837
Lee Norris,nm0635851
Lee Pace,nm1195855
Lee Purcell,nm0002517
Lee Remick,nm0001665
Lee Tergesen,nm0855564
Lee Thompson Young,nm0949810
Lee Van Cleef,nm0001812
Leelee Sobieski,nm0005447
Leem Lubany,nm5647588
Leif Garrett,nm0308161
Leigh Taylor-Young,nm0853375
Leigh Whannell,nm1191481
Leigh-Allyn Baker,nm0048687
Leighton Meester,nm1015262
Leila Bekhti,nm1871951
Leila George,nm5772354
Leila Kenzle,nm0005087
Lela Loren,nm2187457
Lela Rochon,nm0005375
Leland Orser,nm0650702
Len Cariou,nm0137230
Lena Dunham,nm2501633
Lena Hall,nm2969015
Lena Headey,nm0372176
Lena Olin,nm0000565
Lena Waithe,nm2913119
Lennie James,nm0416694
Lenny Henry,nm0377901
Lenny Kravitz,nm0005107
Lenny Montana,nm0598926
Lenora Crichlow,nm1564072
Leo Fitzpatrick,nm0280559
Leo Howard,nm1795989
Leon,nm0502442
Leon Rippy,nm0728132
Leonard Nimoy,nm0000559
Leonardo DiCaprio,nm0000138
Leonardo Nam,nm1211344
Leonie Benesch,nm2914059
Leonor Varela,nm0007237
Leonor Watling,nm0914455
Leos Carax,nm0136021
Lesley Ann Warren,nm0000690
Lesley Manville,nm0544334
Lesley Nicol,nm0630149
Lesley Sharp,nm0789093
Lesley Vickerage,nm0895991
Lesley-Ann Brandt,nm2788229
Lesley-Anne Down,nm0001153
Leslie Bega,nm0066664
Leslie Bibb,nm0004753
Leslie Caron,nm0001989
Leslie David Baker,nm1534715
Leslie Easterbrook,nm0247579
Leslie Grossman,nm0343678
Leslie Hope,nm0394012
Leslie Jones,nm0428656
Leslie Jordan,nm0430074
Leslie Mann,nm0005182
Leslie Nielsen,nm0000558
Leslie Odom Jr.,nm1502434
Leslie Parrish,nm0663562
Leslie Phillips,nm0680587
Leslie Stefanson,nm0005462
Leslie Uggams,nm0880081
Letitia Wright,nm4004793
LeVar Burton,nm0000996
Leven Rambin,nm1628079
Levy Tran,nm6136319
Lewis Black,nm0085400
Lewis Pullman,nm5730649
Lewis Smith,nm0809095
Lewis Tan,nm1167985
Lex Scott Davis,nm6280112
Lexa Doig,nm0230693
Lexi Ainsworth,nm1943692
Lexi Rabe,nm9962642
Lexi Underwood,nm6304242
Li Jun Li,nm4050835
Lia McHugh,nm7186321
Lia Williams,nm0931165
Liam Aiken,nm0014582
Liam Cunningham,nm0192377
Liam Hemsworth,nm2955013
Liam James,nm0416699
Liam McIntyre,nm2553987
Liam Neeson,nm0000553
Liam O'Brien,nm1240448
Liana Liberato,nm1882929
Libe Barer,nm2842971
Liesel Matthews,nm0560093
Liev Schreiber,nm0000630
Lil Rel Howery,nm2577076
Lili Mirojnick,nm2055623
Lili Reinhart,nm3929887
Lili Simmons,nm3827455
Lili Taylor,nm0000666
Liliana Mumy,nm1137414
Lilla Crawford,nm5116352
Lillian Doucet-Roche,nm8055963
Lillian Gish,nm0001273
Lillo Brancato,nm0000969
Lilly Aspell,nm8412222
Lily Cole,nm2178959
Lily Collins,nm2934314
Lily Costner,nm0182721
Lily Gao,nm5182450
Lily James,nm4141252
Lily Newmark,nm8180163
Lily Rabe,nm1143816
Lily Tomlin,nm0005499
Lily-Rose Depp,nm6675440
Lin Shaye,nm0005417
Lina Esco,nm2128467
Linda Bassett,nm0060221
Linda Blair,nm0000304
Linda Cardellini,nm0004802
Linda Cristal,nm0188050
Linda Darnell,nm0001105
Linda Evans,nm0002067
Linda Fiorentino,nm0000400
Linda Gaye Scott,nm0779489
Linda Gray,nm0336782
Linda Hamilton,nm0000157
Linda Harrison,nm0365709
Linda Hunt,nm0001373
Linda Kozlowski,nm0468957
Linda Lavin,nm0492089
Linda Park,nm0971133
Linda Porter,nm0692207
Linda Purl,nm0700909
Linda Thorson,nm0861771
Linden Ashby,nm0000798
Lindsay Crouse,nm0001080
Lindsay Duncan,nm0242026
Lindsay Hartley,nm0005102
Lindsay Lohan,nm0517820
Lindsay Price,nm0697010
Lindsay Pulsipher,nm1272826
Lindsay Sloane,nm0005441
Lindsay Wagner,nm0905993
Lindsay Watson,nm7341118
Lindsey Broad,nm2365442
Lindsey Gort,nm2789953
Lindsey Haun,nm0369424
Lindsey Kraft,nm1837970
Lindsey McKeon,nm0571636
Lindsey Morgan,nm4289392
Lindsey Shaw,nm1589316
Lindsley Register,nm5855489
Lindy Booth,nm0095751
Lin-Manuel Miranda,nm0592135
Linnea Quigley,nm0001643
Linus Roache,nm0730070
Lionel Barrymore,nm0000859
Lisa Ann Walter,nm0910076
Lisa Banes,nm0051862
Lisa Blount,nm0089408
Lisa Bonet,nm0000956
Lisa Boyle,nm0102288
Lisa Brenner,nm0004773
Lisa Dwan,nm0245390
Lisa Edelstein,nm0249046
Lisa Eilbacher,nm0002060
Lisa Emery,nm0256318
Lisa Gaye,nm0310846
Lisa Hartman,nm0004998
Lisa Jakub,nm0004356
Lisa Joyner,nm0431659
Lisa Kudrow,nm0001435
Lisa LoCicero,nm0516225
Lisa Loring,nm0521006
Lisa Loven Kongsli,nm2966840
Lisa Marie,nm0547273
Lisa McGrillis,nm3287529
Lisa Nicole Carson,nm0004808
Lisa Niemi,nm0001568
Lisa Rieffel,nm0726170
Lisa Rinna,nm0005362
Lisa Robin Kelly,nm0446605
Lisa Rodriguez,nm0735958
Lisa Vanderpump,nm0888838
Lisa Vicari,nm3582197
Lisa Vidal,nm0005529
Lisa Waltz,nm0910610
Lisa Whelchel,nm0924075
Lisa Wilcox,nm0928244
Litefoot,nm0514342
Liv Hewson,nm5735148
Liv Tyler,nm0000239
Liv Ullmann,nm0880521
Liz Fitzgibbon,nm3001947
Liz Katz,nm1968140
Liz Torres,nm0005500
Liz Vassey,nm0890808
Liz White,nm1022566
Liza Lapira,nm0487594
Liza Minnelli,nm0591485
Liza Snyder,nm0811513
Liza Weil,nm0917962
Lizze Broadway,nm3835303
Lizzie Brochere,nm1227053
Lizzy Caplan,nm0135221
Lizzy McInnerny,nm0570569
LL Cool J,nm0005112
Lloyd Bochner,nm0001957
Lloyd Bridges,nm0000978
Lloyd Owen,nm0654197
Lochlyn Munro,nm0613147
Logan Browning,nm2503064
Logan Lerman,nm0503567
Logan Marshall-Green,nm1334869
Logan Miller,nm2383250
Logan Paul,nm6982686
Logan Shroyer,nm6026551
Lois Chiles,nm0001042
Lois Nettleton,nm0626728
Lois Smith,nm0809135
Lola Albright,nm0017030
Lola Flanery,nm7380180
Lola Glaudini,nm0322164
Lola Kirke,nm3860305
Lolita Davidovich,nm0000357
Lolly Adefope,nm7649398
Loni Anderson,nm0000756
Lora Martinez-Cunningham,nm1254942
Lorcan Cranitch,nm0186475
Lorenza Izzo,nm4448022
Lorenzo Lamas,nm0001444
Loretta Devine,nm0222643
Loretta Swit,nm0842794
Loretta Walsh,nm1479098
Loretta Young,nm0949835
Lori Loughlin,nm0521753
Lori Petty,nm0001614
Lori Singer,nm0001742
Lorna Nickson Brown,nm4589735
Lorne Cardinal,nm0136482
Lorne Greene,nm0001296
Lorraine Ashbourne,nm0038690
Lorraine Bracco,nm0000966
Lorraine Gary,nm0308882
Lorraine Nicholson,nm1574234
Lorraine Toussaint,nm0005501
Lotte Verbeek,nm2551311
Lou Diamond Phillips,nm0001617
Lou Ferrigno,nm0002073
Lou Ferrigno Jr.,nm4609670
Lou Romano,nm0738918
Lou Taylor Pucci,nm1086384
Louie Anderson,nm0004706
Louis Ashbourne Serkis,nm6162831
Louis C.K.,nm0127373
Louis Cancelmi,nm1209413
Louis Ferreira,nm0274371
Louis Garrel,nm0308039
Louis Gossett Jr.,nm0001283
Louis Hofmann,nm3836977
Louis Lombardi,nm0518385
Louis Mandylor,nm0541909
Louis Partridge,nm6273024
Louisa Harland,nm5308665
Louisa Krause,nm2106801
Louise Brealey,nm1154764
Louise Fletcher,nm0001221
Louise Jameson,nm0417062
Louise Lasser,nm0489837
Louise Lombard,nm0518321
Luc Besson,nm0000108
Lucas Babin,nm0044974
Lucas Black,nm0085407
Lucas Bravo,nm5575725
Lucas Grabeel,nm1727317
Lucas Hedges,nm2348627
Lucas Jade Zumann,nm6722749
Lucas Neff,nm3432505
Lucas Till,nm1395771
Luciana Paluzzi,nm0658885
Lucie Arnaz,nm0036109
Lucie Guest,nm1708815
Lucille Ball,nm0000840
Lucille Soong,nm0814586
Lucinda Dickey,nm0225466
Lucio Fulci,nm0002086
Lucy Boynton,nm2377903
Lucy Cohu,nm0169982
Lucy Davis,nm0205063
Lucy DeVito,nm2192439
Lucy Fry,nm4867258
Lucy Griffiths,nm2189625
Lucy Hale,nm1423955
Lucy Lawless,nm0005128
Lucy Liu,nm0005154
Lucy Punch,nm0700577
Lucy Russell,nm0751301
Lucy Walters,nm3046705
Ludacris,nm0524839
Ludi Lin,nm3485108
Ludivine Sagnier,nm0756203
Luenell,nm0132685
Luis Bunuel,nm0000320
Luis Guzman,nm0350079
Luis Roberto Guzman,nm0350080
Luis Tosar,nm0869088
Luisa d'Oliveira,nm3040011
Luka Jones,nm4678005
Lukas Haas,nm0001305
Luke Arnold,nm2315197
Luke Benward,nm0972851
Luke Bracey,nm3478396
Luke Evans,nm1812656
Luke Goss,nm0331577
